DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,EL,2021,31.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,ES,2021,30.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,EU27_2020,2021,27.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,FI,2021,21.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,FR,2021,24.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,HR,2021,34.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,HU,2021,28.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,IE,2021,28.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,IT,2021,30.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,LT,2021,26.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,LU,2021,27.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,LV,2021,27.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,MT,2021,30.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,NL,2021,23.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,PL,2021,30.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,PT,2021,34.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,RO,2021,30.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,RS,2021,33.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,SE,2021,19.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,SI,2021,30.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,M,SK,2021,32.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,AT,2021,25.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,BE,2021,26.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,BG,2021,30.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,CY,2021,27.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,CZ,2021,25.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,DE,2021,23.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,DK,2021,21.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,EE,2021,22.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,EL,2021,30.7,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,ES,2021,29.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,EU27_2020,2021,26.5,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,FI,2021,21.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,FR,2021,23.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,HR,2021,33.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,HU,2021,27.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,IE,2021,27.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,IT,2021,29.9,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,LT,2021,25.2,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,LU,2021,26.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,LV,2021,26.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,MT,2021,29.8,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,NL,2021,23.3,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,PL,2021,29.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,PT,2021,33.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,RO,2021,28.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,RS,2021,31.4,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,SE,2021,19.0,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,SI,2021,29.6,b
ESTAT:YTH_DEMO_030(1.0),13/05/22 23:00:00,A,AVG,T,SK,2021,30.9,b
